Tour, Faim, Pensee
0,-5,1
1,0,2
2,5,3
3,10,4
4,10,4
5,11,4
6,12,4
7,13,4
8,14,4
9,15,4
10,16,4
11,16,4
12,14,4
13,12,4
14,10,4
15,8,4
16,6,4
17,4,4
18,2,4
19,0,4
20,0,4
21,5,5
22,10,6
23,10,6
24,11,6
25,12,6
26,13,6
27,14,6
28,15,6
29,16,6
30,17,6
31,18,6
32,19,6
33,19,6
34,17,6
35,15,6
36,13,6
37,11,6
38,9,6
39,7,6
40,5,6
41,3,6
42,1,6
43,-1,6
44,-1,6
45,4,7
46,9,8
47,14,9
48,14,9
49,15,9
50,16,9
51,17,9
52,18,9
53,19,9
54,20,9
55,21,9
56,22,9
57,23,9
58,23,9
59,21,9
60,19,9
61,17,9
62,15,9
63,13,9
64,11,9
65,9,9
66,7,9
67,5,9
68,3,9
69,1,9
70,-1,9
71,-1,9
72,4,10
73,9,11
74,14,12
75,14,12
76,15,12
77,16,12
78,17,12
79,18,12
80,19,12
81,20,12
82,21,12
83,22,12
84,22,12
85,20,12
86,18,12
87,16,12
88,14,12
89,12,12
90,10,12
91,8,12
92,6,12
93,4,12
94,2,12
95,0,12
96,0,12
97,5,13
98,10,14
99,10,14
100,11,14
101,12,14
102,13,14
103,14,14
104,15,14
105,16,14
106,17,14
107,18,14
108,19,14
109,19,14
110,17,14
111,15,14
112,13,14
113,11,14
114,9,14
115,7,14
116,5,14
117,3,14
118,1,14
119,-1,14
120,-1,14
121,4,15
122,9,16
123,14,17
124,14,17
125,15,17
126,16,17
127,17,17
128,18,17
129,19,17
130,20,17
131,21,17
132,22,17
133,23,17
134,24,17
135,25,17
136,25,17
137,23,17
138,21,17
139,19,17
140,17,17
141,15,17
142,13,17
143,11,17
144,9,17
145,7,17
146,5,17
147,3,17
148,1,17
149,-1,17
150,-1,17
151,4,18
152,9,19
153,14,20
154,14,20
155,15,20
156,16,20
157,17,20
158,18,20
159,19,20
160,20,20
161,21,20
162,22,20
163,23,20
164,24,20
165,24,20
166,22,20
167,20,20
168,18,20
169,16,20
170,14,20
171,12,20
172,10,20
173,8,20
174,6,20
175,4,20
176,2,20
177,0,20
178,0,20
179,5,21
180,10,22
181,10,22
182,11,22
183,12,22
184,13,22
185,14,22
186,15,22
187,16,22
188,17,22
189,18,22
190,19,22
191,20,22
192,20,22
193,18,22
194,16,22
195,14,22
196,12,22
197,10,22
198,8,22
199,6,22
200,4,22
201,2,22
202,0,22
203,0,22
204,5,23
205,10,24
206,10,24
207,11,24
208,12,24
209,13,24
210,14,24
211,15,24
212,16,24
213,17,24
214,18,24
215,19,24
216,20,24
217,21,24
218,22,24
219,23,24
220,24,24
221,25,24
222,26,24
223,27,24
224,28,24
225,29,24
226,30,24
227,31,24
228,32,24
229,32,24
230,30,24
231,28,24
232,26,24
233,24,24
234,22,24
235,20,24
236,18,24
237,16,24
238,14,24
239,12,24
240,10,24
241,8,24
242,6,24
243,4,24
244,2,24
245,0,24
246,0,24
247,5,25
248,10,26
249,10,26
250,11,26
251,12,26
252,13,26
253,14,26
254,15,26
255,16,26
256,17,26
257,18,26
258,19,26
259,20,26
260,21,26
261,22,26
262,23,26
263,24,26
264,25,26
265,26,26
266,27,26
267,28,26
268,29,26
269,30,26
270,31,26
271,32,26
272,33,26
273,34,26
274,35,26
275,36,26
276,37,26
277,38,26
278,39,26
279,40,26
280,41,26
281,41,26
282,39,26
283,37,26
284,35,26
285,33,26
286,31,26
287,29,26
288,27,26
289,25,26
290,23,26
291,21,26
292,19,26
293,17,26
294,15,26
295,13,26
296,11,26
297,9,26
298,7,26
299,5,26
300,3,26
301,1,26
302,-1,26
303,-1,26
304,4,27
305,9,28
306,14,29
307,14,29
308,15,29
309,16,29
310,17,29
311,18,29
312,19,29
313,20,29
314,21,29
315,22,29
316,23,29
317,24,29
318,25,29
319,26,29
320,27,29
321,28,29
322,28,29
323,26,29
324,24,29
325,22,29
326,20,29
327,18,29
328,16,29
329,14,29
330,12,29
331,10,29
332,8,29
333,6,29
334,4,29
335,2,29
336,0,29
337,0,29
338,5,30
339,10,31
340,10,31
341,11,31
342,12,31
343,13,31
344,14,31
345,15,31
346,16,31
347,17,31
348,18,31
349,19,31
350,20,31
351,21,31
352,22,31
353,23,31
354,24,31
355,25,31
356,26,31
357,27,31
358,28,31
359,29,31
360,30,31
361,31,31
362,32,31
363,32,31
364,30,31
365,28,31
366,26,31
367,24,31
368,22,31
369,20,31
370,18,31
371,16,31
372,14,31
373,12,31
374,10,31
375,8,31
376,6,31
377,4,31
378,2,31
379,0,31
380,0,31
381,5,32
382,10,33
383,10,33
384,11,33
385,12,33
386,13,33
387,14,33
388,15,33
389,16,33
390,17,33
391,18,33
392,19,33
393,20,33
394,21,33
395,22,33
396,23,33
397,24,33
398,25,33
399,26,33
400,26,33
401,24,33
402,22,33
403,20,33
404,18,33
405,16,33
406,14,33
407,12,33
408,10,33
409,8,33
410,6,33
411,4,33
412,2,33
413,0,33
414,0,33
415,5,34
416,10,35
417,10,35
418,11,35
419,12,35
420,13,35
421,14,35
422,15,35
423,16,35
424,17,35
425,18,35
426,19,35
427,20,35
428,21,35
429,22,35
430,23,35
431,24,35
432,25,35
433,26,35
434,27,35
435,28,35
436,29,35
437,30,35
438,31,35
439,32,35
440,33,35
441,34,35
442,35,35
443,36,35
444,37,35
445,38,35
446,38,35
447,36,35
448,34,35
449,32,35
450,30,35
451,28,35
452,26,35
453,24,35
454,22,35
455,20,35
456,18,35
457,16,35
458,14,35
459,12,35
460,10,35
461,8,35
462,6,35
463,4,35
464,2,35
465,0,35
466,0,35
467,5,36
468,10,37
469,10,37
470,11,37
471,12,37
472,13,37
473,14,37
474,15,37
475,16,37
476,17,37
477,18,37
478,19,37
479,20,37
480,21,37
481,22,37
482,23,37
483,24,37
484,25,37
485,26,37
486,27,37
487,27,37
488,25,37
489,23,37
490,21,37
491,19,37
492,17,37
493,15,37
494,13,37
495,11,37
496,9,37
497,7,37
498,5,37
499,3,37
500,1,37
501,-1,37
502,-1,37
503,4,38
504,9,39
505,14,40
506,14,40
507,15,40
508,16,40
509,17,40
510,18,40
511,19,40
512,20,40
513,21,40
514,22,40
515,23,40
516,24,40
517,25,40
518,26,40
519,27,40
520,28,40
521,29,40
522,30,40
523,31,40
524,32,40
525,33,40
526,34,40
527,34,40
528,32,40
529,30,40
530,28,40
531,26,40
532,24,40
533,22,40
534,20,40
535,18,40
536,16,40
537,14,40
538,12,40
539,10,40
540,8,40
541,6,40
542,4,40
543,2,40
544,0,40
545,0,40
546,5,41
547,10,42
548,10,42
549,11,42
550,12,42
551,13,42
552,14,42
553,15,42
554,16,42
555,17,42
556,18,42
557,19,42
558,20,42
559,21,42
560,22,42
561,23,42
562,24,42
563,25,42
564,26,42
565,26,42
566,24,42
567,22,42
568,20,42
569,18,42
570,16,42
571,14,42
572,12,42
573,10,42
574,8,42
575,6,42
576,4,42
577,2,42
578,0,42
579,0,42
580,5,43
581,10,44
582,10,44
583,11,44
584,12,44
585,13,44
586,14,44
587,15,44
588,16,44
589,17,44
590,18,44
591,19,44
592,20,44
593,21,44
594,22,44
595,23,44
596,24,44
597,25,44
598,26,44
599,27,44
600,28,44
601,29,44
602,30,44
603,31,44
604,32,44
605,33,44
606,34,44
607,35,44
608,36,44
609,36,44
610,34,44
611,32,44
612,30,44
613,28,44
614,26,44
615,24,44
616,22,44
617,20,44
618,18,44
619,16,44
620,14,44
621,12,44
622,10,44
623,8,44
624,6,44
625,4,44
626,2,44
627,0,44
628,0,44
629,5,45
630,10,46
631,10,46
632,11,46
633,12,46
634,13,46
635,14,46
636,15,46
637,16,46
638,17,46
639,18,46
640,19,46
641,20,46
642,21,46
643,22,46
644,23,46
645,24,46
646,24,46
647,22,46
648,20,46
649,18,46
650,16,46
651,14,46
652,12,46
653,10,46
654,8,46
655,6,46
656,4,46
657,2,46
658,0,46
659,0,46
660,5,47
661,10,48
662,10,48
663,10,48
664,8,48
665,6,48
666,4,48
667,2,48
668,0,48
669,0,48
670,5,49
671,10,50
672,10,50
673,11,50
674,12,50
675,13,50
676,14,50
677,15,50
678,16,50
679,17,50
680,18,50
681,19,50
682,20,50
683,21,50
684,22,50
685,23,50
686,24,50
687,25,50
688,26,50
689,27,50
690,28,50
691,29,50
692,30,50
693,31,50
694,32,50
695,33,50
696,34,50
697,34,50
698,32,50
699,30,50
700,28,50
701,26,50
702,24,50
703,22,50
704,20,50
705,18,50
706,16,50
707,14,50
708,12,50
709,10,50
710,8,50
711,6,50
712,4,50
713,2,50
714,0,50
715,0,50
716,5,51
717,10,52
718,10,52
719,11,52
720,12,52
721,13,52
722,14,52
723,15,52
724,16,52
725,17,52
726,18,52
727,19,52
728,20,52
729,21,52
730,22,52
731,23,52
732,24,52
733,25,52
734,26,52
735,27,52
736,28,52
737,29,52
738,30,52
739,31,52
740,32,52
741,32,52
742,30,52
743,28,52
744,26,52
745,24,52
746,22,52
747,20,52
748,18,52
749,16,52
750,14,52
751,12,52
752,10,52
753,8,52
754,6,52
755,4,52
756,2,52
757,0,52
758,0,52
759,5,53
760,10,54
761,10,54
762,11,54
763,12,54
764,13,54
765,14,54
766,15,54
767,16,54
768,17,54
769,18,54
770,19,54
771,20,54
772,21,54
773,22,54
774,23,54
775,24,54
776,25,54
777,25,54
778,23,54
779,21,54
780,19,54
781,17,54
782,15,54
783,13,54
784,11,54
785,9,54
786,7,54
787,5,54
788,3,54
789,1,54
790,-1,54
791,-1,54
792,4,55
793,9,56
794,14,57
795,14,57
796,15,57
797,16,57
798,17,57
799,18,57
800,19,57
801,20,57
802,21,57
803,22,57
804,23,57
805,24,57
806,25,57
807,26,57
808,27,57
809,28,57
810,29,57
811,30,57
812,31,57
813,32,57
814,33,57
815,34,57
816,35,57
817,36,57
818,37,57
819,38,57
820,38,57
821,36,57
822,34,57
823,32,57
824,30,57
825,28,57
826,26,57
827,24,57
828,22,57
829,20,57
830,18,57
831,16,57
832,14,57
833,12,57
834,10,57
835,8,57
836,6,57
837,4,57
838,2,57
839,0,57
840,0,57
841,5,58
842,10,59
843,10,59
844,11,59
845,12,59
846,13,59
847,14,59
848,15,59
849,16,59
850,17,59
851,18,59
852,19,59
853,20,59
854,21,59
855,22,59
856,23,59
857,24,59
858,24,59
859,22,59
860,20,59
861,18,59
862,16,59
863,14,59
864,12,59
865,10,59
866,8,59
867,6,59
868,4,59
869,2,59
870,0,59
871,0,59
872,5,60
873,10,61
874,10,61
875,11,61
876,12,61
877,13,61
878,14,61
879,15,61
880,16,61
881,17,61
882,18,61
883,19,61
884,20,61
885,21,61
886,22,61
887,23,61
888,24,61
889,25,61
890,26,61
891,27,61
892,28,61
893,29,61
894,30,61
895,31,61
896,32,61
897,32,61
898,30,61
899,28,61
900,26,61
901,24,61
902,22,61
903,20,61
904,18,61
905,16,61
906,14,61
907,12,61
908,10,61
909,8,61
910,6,61
911,4,61
912,2,61
913,0,61
914,0,61
915,5,62
916,10,63
917,10,63
918,11,63
919,12,63
920,13,63
921,14,63
922,15,63
923,16,63
924,17,63
925,18,63
926,19,63
927,20,63
928,21,63
929,22,63
930,23,63
931,23,63
932,21,63
933,19,63
934,17,63
935,15,63
936,13,63
937,11,63
938,9,63
939,7,63
940,5,63
941,3,63
942,1,63
943,-1,63
944,-1,63
945,4,64
946,9,65
947,14,66
948,14,66
949,15,66
950,16,66
951,17,66
952,18,66
953,19,66
954,20,66
955,21,66
956,22,66
957,23,66
958,23,66
959,21,66
960,19,66
961,17,66
962,15,66
963,13,66
964,11,66
965,9,66
966,7,66
967,5,66
968,3,66
969,1,66
970,-1,66
971,-1,66
972,4,67
973,9,68
974,14,69
975,14,69
976,15,69
977,16,69
978,17,69
979,18,69
980,19,69
981,20,69
982,21,69
983,22,69
984,23,69
985,24,69
986,25,69
987,26,69
988,27,69
989,28,69
990,29,69
991,30,69
992,31,69
993,32,69
994,33,69
995,34,69
996,35,69
997,36,69
998,37,69
999,37,69
